cost,SR,IR,rmse,r2,max_value,operation_time
91.0,0.19029463725072793,-0.029202896451452354,0.773291579188314,-1.9063314440876176,1.9842227558614547,5.439480543136597
96.0,0.19029463725072793,-0.36591004811874006,1.0043981652522134,-3.903096040882372,1.9842227558614547,5.344170093536377
102.0,0.19029463725072793,-5.593142039676029,1.3988094629967924,-8.509894567599165,1.9842227558614547,5.319821119308472
103.0,0.19029463725072793,-11.873684831115812,1.640972880137595,-12.087641376953759,1.9842227558614547,5.32407283782959
104.0,0.19029463725072793,-12.33048992483481,2.0231836757224952,-18.894324759278643,1.9842227558614547,5.31841778755188
106.0,0.19029463725072793,-12.05195429312395,1.9965340580291766,-18.373675661963414,1.9842227558614547,5.3136677742004395
107.0,0.19029463725072793,-12.491450415583698,1.9803701147257096,-18.061246888684202,1.9842227558614547,5.325184106826782
108.0,0.19029463725072793,-10.629595909507087,1.608634787433763,-11.576896626823363,1.9842227558614547,5.336574077606201
109.0,0.19029463725072793,-10.872877370620401,1.574313043281585,-11.045941952084412,1.9842227558614547,5.324694395065308
114.0,0.19029463725072793,-10.730126959388716,1.5589436380641448,-10.81189035215512,1.9842227558614547,5.330034017562866
116.0,0.19029463725072793,-10.761968263455378,1.672100556344389,-12.588870551316809,1.9842227558614547,5.305742263793945
119.0,0.19029463725072793,-11.182845639467644,1.3939625176027854,-8.44410421948476,1.9842227558614547,5.346933841705322
122.0,0.19029463725072793,-10.9495850401159,1.5351080761704614,-10.453454418801723,1.9842227558614547,5.388795852661133
123.0,0.19029463725072793,-10.35859803139195,2.711775332974829,-34.74094166851053,1.9842227558614547,5.344782829284668
126.0,0.19029463725072793,-8.773821017480554,2.4724982601683556,-28.711909811093825,1.9842227558614547,5.31121563911438
127.0,0.19029463725072793,-7.522633009154548,2.500339877450781,-29.384820398638116,1.9842227558614547,5.312882661819458
133.0,0.19029463725072793,-10.302168223837286,3.332561362061167,-52.977763770530146,1.9842227558614547,5.339038848876953
138.0,0.19029463725072793,-9.956205173461708,3.5097916727158243,-58.87165416964652,1.9842227558614547,5.338963031768799
141.0,0.19029463725072793,-9.676650815108292,3.460904125181165,-57.215377209847915,1.9842227558614547,5.359998464584351
147.0,0.19029463725072793,-7.145748589761128,2.6766536458722388,-33.821135937167824,1.9842227558614547,5.313225507736206
149.0,0.19029463725072793,-8.552020146021158,2.9456713910548427,-41.172288845070476,1.9842227558614547,5.3515465259552
150.0,0.19029463725072793,-9.68285672401703,4.0422447424569405,-78.41522825311421,1.9842227558614547,5.324040651321411
