cost,SR,max_value,operation_time
50.0,0.6094999999999999,1.3905,0.0
51.0,0.6094999999999999,1.3905,24.019766330718994
52.0,0.6094999999999999,1.3905,4.132798194885254
53.0,0.5386,1.4614,4.280504941940308
54.0,0.4874999999999998,1.5125000000000002,5.080487251281738
55.0,0.4874999999999998,1.5125000000000002,4.9993696212768555
56.0,0.4874999999999998,1.5125000000000002,14.395684957504272
57.0,0.44009999999999994,1.5599,4.922344923019409
58.0,0.44009999999999994,1.5599,4.813368558883667
59.0,0.44009999999999994,1.5599,5.100589036941528
60.0,0.44009999999999994,1.5599,5.3278913497924805
61.0,0.44009999999999994,1.5599,4.872032642364502
62.0,0.44009999999999994,1.5599,4.755738973617554
63.0,0.44009999999999994,1.5599,4.871356725692749
64.0,0.44009999999999994,1.5599,4.944076299667358
65.0,0.44009999999999994,1.5599,5.224937200546265
66.0,0.44009999999999994,1.5599,5.125224351882935
67.0,0.44009999999999994,1.5599,5.145322561264038
68.0,0.4203999999999999,1.5796000000000001,5.428426742553711
69.0,0.4203999999999999,1.5796000000000001,4.981403350830078
70.0,0.4203999999999999,1.5796000000000001,5.250397682189941
71.0,0.4203999999999999,1.5796000000000001,4.9442102909088135
72.0,0.4203999999999999,1.5796000000000001,5.281431674957275
73.0,0.4203999999999999,1.5796000000000001,5.3678977489471436
74.0,0.4203999999999999,1.5796000000000001,5.359644889831543
75.0,0.4203999999999999,1.5796000000000001,4.978736162185669
76.0,0.4203999999999999,1.5796000000000001,5.1006388664245605
77.0,0.4203999999999999,1.5796000000000001,5.2727320194244385
78.0,0.4203999999999999,1.5796000000000001,5.301817893981934
79.0,0.4203999999999999,1.5796000000000001,5.068192958831787
80.0,0.4203999999999999,1.5796000000000001,5.455119848251343
81.0,0.4203999999999999,1.5796000000000001,5.113678693771362
82.0,0.4203999999999999,1.5796000000000001,5.406254529953003
83.0,0.4203999999999999,1.5796000000000001,5.12908673286438
84.0,0.4203999999999999,1.5796000000000001,5.627902984619141
85.0,0.4203999999999999,1.5796000000000001,5.135717153549194
86.0,0.4203999999999999,1.5796000000000001,4.9029929637908936
87.0,0.4203999999999999,1.5796000000000001,5.230547904968262
88.0,0.4203999999999999,1.5796000000000001,5.175420761108398
89.0,0.4203999999999999,1.5796000000000001,5.153947114944458
90.0,0.4203999999999999,1.5796000000000001,5.314876079559326
91.0,0.4203999999999999,1.5796000000000001,5.278194904327393
92.0,0.4203999999999999,1.5796000000000001,4.973127603530884
93.0,0.4203999999999999,1.5796000000000001,5.1145994663238525
94.0,0.4203999999999999,1.5796000000000001,5.3941662311553955
95.0,0.4203999999999999,1.5796000000000001,5.298841714859009
96.0,0.4203999999999999,1.5796000000000001,5.2448766231536865
97.0,0.4203999999999999,1.5796000000000001,5.4834511280059814
98.0,0.4203999999999999,1.5796000000000001,5.034202575683594
99.0,0.4203999999999999,1.5796000000000001,5.203499794006348
100.0,0.4203999999999999,1.5796000000000001,5.275242328643799
101.0,0.4203999999999999,1.5796000000000001,5.082159519195557
102.0,0.4203999999999999,1.5796000000000001,5.117996692657471
103.0,0.4203999999999999,1.5796000000000001,5.300655841827393
104.0,0.4203999999999999,1.5796000000000001,4.97628116607666
105.0,0.4203999999999999,1.5796000000000001,5.246262311935425
106.0,0.4203999999999999,1.5796000000000001,5.54149317741394
107.0,0.4203999999999999,1.5796000000000001,5.181525468826294
108.0,0.4203999999999999,1.5796000000000001,5.089503526687622
109.0,0.4203999999999999,1.5796000000000001,5.417909383773804
110.0,0.4203999999999999,1.5796000000000001,5.234090089797974
111.0,0.4203999999999999,1.5796000000000001,4.979924917221069
112.0,0.4203999999999999,1.5796000000000001,5.519200325012207
113.0,0.4203999999999999,1.5796000000000001,5.078765630722046
114.0,0.4195,1.5805,5.493224859237671
115.0,0.4195,1.5805,5.287641763687134
116.0,0.4195,1.5805,5.427869081497192
117.0,0.4195,1.5805,5.338212966918945
118.0,0.4195,1.5805,5.3348822593688965
119.0,0.4195,1.5805,5.605091094970703
120.0,0.4195,1.5805,5.336767196655273
121.0,0.4195,1.5805,5.332059383392334
122.0,0.4195,1.5805,5.360868215560913
123.0,0.4195,1.5805,5.297532320022583
124.0,0.4195,1.5805,5.125265598297119
125.0,0.4195,1.5805,5.178175210952759
126.0,0.4195,1.5805,5.148940563201904
127.0,0.4195,1.5805,5.542211294174194
128.0,0.4195,1.5805,5.328181505203247
129.0,0.4195,1.5805,5.148200511932373
130.0,0.4195,1.5805,5.201731443405151
131.0,0.4195,1.5805,5.464492082595825
132.0,0.4195,1.5805,5.665826082229614
133.0,0.4195,1.5805,5.462892770767212
134.0,0.4195,1.5805,5.432195425033569
135.0,0.4195,1.5805,5.5948097705841064
136.0,0.4195,1.5805,5.373085021972656
137.0,0.4195,1.5805,5.533691883087158
138.0,0.4195,1.5805,5.5409440994262695
139.0,0.4195,1.5805,5.267007112503052
140.0,0.4195,1.5805,5.516849040985107
141.0,0.4195,1.5805,13.383228063583374
142.0,0.4195,1.5805,5.004505395889282
143.0,0.4195,1.5805,5.753286600112915
144.0,0.4195,1.5805,5.7032129764556885
145.0,0.4195,1.5805,6.045360326766968
146.0,0.4195,1.5805,6.000356197357178
147.0,0.4195,1.5805,5.579859733581543
148.0,0.4195,1.5805,5.619851350784302
149.0,0.4195,1.5805,5.599241018295288
150.0,0.4195,1.5805,5.520766258239746
