cost,incumbents,operation_time
50.0,209.00609679433276,0.0
59.96934671866672,209.00609679433276,240.2614448070526
69.85018562525566,209.00609679433276,353.5943372249603
79.71700936786802,209.00609679433276,455.6372547149658
89.5858488441419,209.00609679433276,560.415607213974
99.53720603076307,209.00609679433276,674.8591816425323
109.44001824751956,209.00609679433276,791.6148827075958
119.2851683874198,209.00609679433276,908.0515418052673
128.1477906295397,219.19495318386507,1116.1823194026947
132.1487674121559,219.19495318386507,1221.60449385643
141.4342904628568,219.19495318386507,1393.3024134635925
150.36996078978106,219.19495318386507,1561.542624950409
