cost,SR,IR,rmse,r2,max_value,operation_time
50.0,73.92201785291383,121.47530396972908,34.26772384117688,0.5232917403907682,170.14057369982055,0.0
51.0,73.92201785291383,-94.50638160277583,79.63966269785755,-1.57478508082299,170.14057369982055,0.55741286277771
52.0,73.92201785291383,109.05923750398142,55.12678441278611,-0.23369408092238242,170.14057369982055,0.576582670211792
53.0,73.92201785291383,112.20835745274587,67.58872500932691,-0.8545163565665896,170.14057369982055,0.5643329620361328
54.0,73.92201785291383,61.7991346893229,62.989661178651815,-0.6107224232829571,170.14057369982055,0.5779142379760742
55.0,67.21666174030398,76.92232784948953,42.94972353575695,0.2511360826707544,176.8459298124304,0.5760629177093506
56.0,67.21666174030398,-150.14172885670644,90.46773233272228,-2.3225350332948307,176.8459298124304,0.5687911510467529
57.0,48.96128266928497,29.83919020756261,49.41397291756902,0.00875341111639627,195.1013088834494,0.592275857925415
58.0,48.96128266928497,-517.2804024422993,136.63405188155295,-6.578793171183347,195.1013088834494,0.6019151210784912
59.0,48.96128266928497,-33.08723881391808,105.98293265641836,-3.559886423630563,195.1013088834494,16.397258758544922
60.0,48.96128266928497,35.76636956464938,379.4081016692139,-57.438002241292146,195.1013088834494,0.5893182754516602
61.0,48.96128266928497,47.32229962697116,67.02691064744766,-0.8238140853795308,195.1013088834494,0.5905036926269531
62.0,48.96128266928497,106.39527416149951,142.8797656929901,-7.287501476337102,195.1013088834494,0.5810086727142334
63.0,48.96128266928497,-51.38731541823921,60.28560107392994,-0.4753985449914735,195.1013088834494,0.6092276573181152
64.0,48.96128266928497,-301.8119795301759,56.33604909697389,-0.288412508526807,195.1013088834494,0.6217324733734131
65.0,48.96128266928497,-2034.5653440032115,243.53603002559925,-23.077345480105215,195.1013088834494,0.6316182613372803
66.0,48.96128266928497,-416.9070429644431,265.17812489647025,-27.546807782405423,195.1013088834494,0.623589277267456
67.0,45.62319026488916,-165.14771208964282,45.500557312900035,0.15954281873696508,198.43940128784521,0.6173388957977295
68.0,28.460496519970604,-78.26385366926246,48.98509738606874,0.02588526747829989,215.60209503276377,0.6307001113891602
69.0,28.460496519970604,-88.00419749076246,67.50918564915597,-0.8501540831185412,215.60209503276377,0.6278684139251709
70.0,28.460496519970604,108.34487597139096,34.65501658796501,0.5124553645159458,215.60209503276377,0.6265666484832764
71.0,28.460496519970604,-439.2524089341481,274.2625127707543,-29.536204921464037,215.60209503276377,0.6370820999145508
72.0,28.460496519970604,33.907778820645916,81.74354432958386,-1.7126208085778112,215.60209503276377,0.6383378505706787
73.0,28.460496519970604,-111.95292079023557,46.282274145546914,0.13041599852337182,215.60209503276377,0.6698529720306396
74.0,28.460496519970604,-417.61354455704407,130.13383072756127,-5.874839894972218,215.60209503276377,0.6388881206512451
75.0,28.460496519970604,-505.94500991981363,161.80843522810628,-9.628805900236689,215.60209503276377,0.647552490234375
76.0,28.460496519970604,-617.5889979356774,318.45078542118466,-40.16866734019918,215.60209503276377,0.6414382457733154
77.0,28.460496519970604,-136.52926571092559,48.51419301894899,0.0445239981596357,215.60209503276377,0.6448369026184082
78.0,28.460496519970604,-1933.3231006759747,1034.2281628326182,-433.22505577365234,215.60209503276377,0.6431295871734619
79.0,25.964736396312503,32.5557975756968,234.0637062654386,-21.240795414346916,218.09785515642187,0.649350643157959
80.0,25.964736396312503,-985.8529908491621,417.2802441139599,-69.68671635680866,218.09785515642187,0.6539032459259033
81.0,25.964736396312503,-1105.4437730937998,353.4503536817552,-49.715300278735505,218.09785515642187,0.6591980457305908
82.0,25.964736396312503,71.96490559734931,203.11041883239938,-15.74736800287019,218.09785515642187,0.6405806541442871
83.0,25.964736396312503,-586.7754767157131,158.9254596445917,-9.253428620674779,218.09785515642187,0.6565804481506348
84.0,25.964736396312503,84.77706325752993,71.79943268985872,-1.0927829362702317,218.09785515642187,0.6803784370422363
85.0,25.964736396312503,-511.6638944589166,187.82090566379173,-13.320890392637502,218.09785515642187,0.6621177196502686
86.0,25.964736396312503,-179.76624023756494,103.83443539743953,-3.3768833436859174,218.09785515642187,0.6701695919036865
87.0,25.964736396312503,-384.07820325751777,194.95281691053694,-14.429121166873486,218.09785515642187,0.6626005172729492
88.0,25.964736396312503,-113.42343253424082,129.98346453842274,-5.8589616834635425,218.09785515642187,0.6834850311279297
89.0,25.964736396312503,121.08684890936956,50.07952116239828,-0.018128267557851352,218.09785515642187,0.6582586765289307
90.0,25.964736396312503,96.93228936975316,106.32014161314898,-3.588949229749095,218.09785515642187,0.6721045970916748
91.0,25.964736396312503,-514.4526514727256,270.3422138224163,-28.669477070080646,218.09785515642187,0.6865556240081787
92.0,25.964736396312503,-2337.0163098744524,473.60522948875774,-90.05737753458556,218.09785515642187,0.6793837547302246
93.0,1.3110291717561893,-41.42415431560556,185.10869067058738,-12.910276987420806,242.75156238097819,0.687239408493042
94.0,1.3110291717561893,84.81286620394692,62.22707120678095,-0.5719577956614377,242.75156238097819,0.6787776947021484
95.0,1.3110291717561893,69.1218706315704,40.246271028400635,0.3424429247257402,242.75156238097819,0.6972348690032959
96.0,1.3110291717561893,-721.903007674864,391.4951863676476,-61.22071725753347,242.75156238097819,0.6775674819946289
97.0,1.3110291717561893,107.26985705457889,65.28085438749056,-0.7300307387226557,242.75156238097819,0.6893465518951416
98.0,1.3110291717561893,-1663.119811976148,770.0873458530464,-239.74769306459535,242.75156238097819,0.691824197769165
99.0,1.3110291717561893,-542.1949443469217,243.3522640907924,-23.04102291578456,242.75156238097819,0.689767599105835
