cost,SR,IR,rmse,r2,max_value,operation_time
104.0,0.3535511166418863,1.1352079226688436,0.49512750715151055,-0.19149627200619923,1.8209662764702963,27.098065853118896
111.0,-0.07648260688781727,-16.512267556080115,4.757870550886162,-109.02308608372614,2.251,26.68312644958496
118.0,-0.07648260688781727,-50.75358921120712,14.733771903763467,-1054.0826054802576,2.251,25.617846965789795
125.0,-0.07648260688781727,-60.90605522689594,18.506448831416943,-1663.5803375659318,2.251,25.702767610549927
132.0,-0.07648260688781727,-77.68955979523236,25.144413217089195,-3071.8516149365782,2.251,26.180407285690308
139.0,-0.07648260688781727,-74.06617729229163,23.704219086502523,-2729.925695039282,2.251,26.27107286453247
146.0,-0.07648260688781727,-31.221996343819853,11.316841608098752,-621.4565678634889,2.251,26.233073949813843
153.0,-0.07648260688781727,-66.3180967227639,25.571247072965917,-3177.0622210795214,2.251,26.285067796707153
