cost,SR,max_value,operation_time
50.0,0.5310999999999999,1.4689,0.0
51.0,0.5310999999999999,1.4689,29.341657876968384
52.0,0.4312,1.5688,4.282753944396973
53.0,0.4261999999999999,1.5738,3.6796956062316895
54.0,0.4261999999999999,1.5738,3.81805682182312
55.0,0.4261999999999999,1.5738,4.801305055618286
56.0,0.4261999999999999,1.5738,3.7532520294189453
57.0,0.4261999999999999,1.5738,3.821469306945801
58.0,0.4261999999999999,1.5738,4.660715341567993
59.0,0.4261999999999999,1.5738,3.79280686378479
60.0,0.4261999999999999,1.5738,4.39750599861145
61.0,0.4261999999999999,1.5738,3.839341402053833
62.0,0.4261999999999999,1.5738,3.723266124725342
63.0,0.4261999999999999,1.5738,4.489162921905518
64.0,0.4261999999999999,1.5738,3.9331557750701904
65.0,0.4221999999999999,1.5778,3.9874720573425293
66.0,0.4221999999999999,1.5778,3.9505324363708496
67.0,0.4221999999999999,1.5778,4.041299819946289
68.0,0.4221999999999999,1.5778,4.617894887924194
69.0,0.4221999999999999,1.5778,3.544783353805542
70.0,0.4221999999999999,1.5778,3.5464367866516113
71.0,0.4221999999999999,1.5778,4.690929651260376
72.0,0.4221999999999999,1.5778,3.8584983348846436
73.0,0.4221999999999999,1.5778,3.9454267024993896
74.0,0.4221999999999999,1.5778,4.475566387176514
75.0,0.4221999999999999,1.5778,4.003843307495117
76.0,0.4221999999999999,1.5778,4.736878156661987
77.0,0.4221999999999999,1.5778,4.067279577255249
78.0,0.4221999999999999,1.5778,4.010856866836548
79.0,0.4221999999999999,1.5778,4.67610239982605
80.0,0.4221999999999999,1.5778,4.209598064422607
81.0,0.4221999999999999,1.5778,3.937539577484131
82.0,0.4221999999999999,1.5778,4.485076189041138
83.0,0.41849999999999987,1.5815000000000001,4.075127124786377
84.0,0.41849999999999987,1.5815000000000001,3.7049989700317383
85.0,0.41849999999999987,1.5815000000000001,4.4293553829193115
86.0,0.41849999999999987,1.5815000000000001,4.0246970653533936
87.0,0.41849999999999987,1.5815000000000001,3.9725046157836914
88.0,0.41849999999999987,1.5815000000000001,4.762547254562378
89.0,0.41849999999999987,1.5815000000000001,3.8541510105133057
90.0,0.41849999999999987,1.5815000000000001,3.5809109210968018
91.0,0.41849999999999987,1.5815000000000001,5.016094923019409
92.0,0.41849999999999987,1.5815000000000001,4.144151449203491
93.0,0.41849999999999987,1.5815000000000001,4.168707847595215
94.0,0.41849999999999987,1.5815000000000001,3.9256811141967773
95.0,0.41849999999999987,1.5815000000000001,3.949382781982422
96.0,0.41849999999999987,1.5815000000000001,4.096292972564697
97.0,0.41849999999999987,1.5815000000000001,4.2434446811676025
98.0,0.41849999999999987,1.5815000000000001,3.6342360973358154
99.0,0.41849999999999987,1.5815000000000001,4.797426462173462
100.0,0.41849999999999987,1.5815000000000001,3.9526638984680176
101.0,0.41849999999999987,1.5815000000000001,4.062327861785889
102.0,0.41849999999999987,1.5815000000000001,3.8023219108581543
103.0,0.41849999999999987,1.5815000000000001,3.790073871612549
104.0,0.41849999999999987,1.5815000000000001,4.108412742614746
105.0,0.41849999999999987,1.5815000000000001,3.818779945373535
106.0,0.41849999999999987,1.5815000000000001,4.1867454051971436
107.0,0.41849999999999987,1.5815000000000001,3.6000828742980957
108.0,0.41849999999999987,1.5815000000000001,4.031445026397705
109.0,0.41849999999999987,1.5815000000000001,3.8668034076690674
110.0,0.41849999999999987,1.5815000000000001,3.6299047470092773
111.0,0.41849999999999987,1.5815000000000001,4.894140958786011
112.0,0.41849999999999987,1.5815000000000001,3.749485492706299
113.0,0.41849999999999987,1.5815000000000001,4.101603984832764
114.0,0.41849999999999987,1.5815000000000001,4.992863893508911
115.0,0.41849999999999987,1.5815000000000001,3.9462730884552
116.0,0.41849999999999987,1.5815000000000001,3.749411106109619
117.0,0.41849999999999987,1.5815000000000001,4.8994433879852295
118.0,0.41849999999999987,1.5815000000000001,4.104527711868286
119.0,0.41849999999999987,1.5815000000000001,4.353549003601074
120.0,0.41849999999999987,1.5815000000000001,4.4982476234436035
121.0,0.41849999999999987,1.5815000000000001,4.129352569580078
122.0,0.41849999999999987,1.5815000000000001,4.838709354400635
123.0,0.41849999999999987,1.5815000000000001,3.9210920333862305
124.0,0.41849999999999987,1.5815000000000001,4.893328905105591
125.0,0.41849999999999987,1.5815000000000001,4.173013210296631
126.0,0.41849999999999987,1.5815000000000001,4.238978147506714
127.0,0.41849999999999987,1.5815000000000001,4.2358787059783936
128.0,0.41849999999999987,1.5815000000000001,3.695998191833496
129.0,0.41849999999999987,1.5815000000000001,3.894956111907959
130.0,0.41849999999999987,1.5815000000000001,4.965703964233398
