cost,SR,max_value,operation_time
50.0,0.5532999999999999,1.4467,0.0
51.0,0.5532999999999999,1.4467,28.31185817718506
52.0,0.5532999999999999,1.4467,4.146474838256836
53.0,0.5532999999999999,1.4467,5.269585371017456
54.0,0.5532999999999999,1.4467,4.808058023452759
55.0,0.4302999999999999,1.5697,5.061603784561157
56.0,0.4302999999999999,1.5697,4.850172996520996
57.0,0.4302999999999999,1.5697,4.62634801864624
58.0,0.4302999999999999,1.5697,5.32450795173645
59.0,0.4302999999999999,1.5697,15.17417573928833
60.0,0.4302999999999999,1.5697,4.810486793518066
61.0,0.4302999999999999,1.5697,6.190589904785156
62.0,0.4302999999999999,1.5697,4.404312610626221
63.0,0.4302999999999999,1.5697,5.071424961090088
64.0,0.4302999999999999,1.5697,4.839793682098389
65.0,0.42399999999999993,1.576,4.967552185058594
66.0,0.42399999999999993,1.576,5.493762493133545
67.0,0.42399999999999993,1.576,4.87051796913147
68.0,0.42399999999999993,1.576,6.128844499588013
69.0,0.42399999999999993,1.576,4.759221315383911
70.0,0.42399999999999993,1.576,5.959295988082886
71.0,0.42399999999999993,1.576,5.06681489944458
74.0,0.42399999999999993,1.576,5.818902254104614
75.0,0.42399999999999993,1.576,4.5165441036224365
76.0,0.42399999999999993,1.576,4.880951642990112
77.0,0.42399999999999993,1.576,5.548840761184692
78.0,0.42399999999999993,1.576,4.870303630828857
79.0,0.42399999999999993,1.576,4.495848178863525
80.0,0.42399999999999993,1.576,6.427865982055664
81.0,0.42399999999999993,1.576,4.675759792327881
82.0,0.42399999999999993,1.576,5.619747877120972
83.0,0.42399999999999993,1.576,4.585734844207764
88.0,0.42399999999999993,1.576,5.032880783081055
89.0,0.42399999999999993,1.576,4.813199520111084
90.0,0.42399999999999993,1.576,4.850102186203003
91.0,0.42399999999999993,1.576,6.207084894180298
92.0,0.42399999999999993,1.576,5.015989065170288
93.0,0.42399999999999993,1.576,5.63511848449707
94.0,0.42399999999999993,1.576,4.687927484512329
95.0,0.42399999999999993,1.576,4.552899360656738
96.0,0.42399999999999993,1.576,6.539785861968994
97.0,0.42399999999999993,1.576,4.645808935165405
98.0,0.42399999999999993,1.576,5.867282867431641
99.0,0.42399999999999993,1.576,5.135592222213745
100.0,0.42399999999999993,1.576,6.640781402587891
101.0,0.42399999999999993,1.576,4.6505961418151855
102.0,0.42399999999999993,1.576,5.269348382949829
103.0,0.42399999999999993,1.576,6.3239288330078125
104.0,0.42399999999999993,1.576,4.713218927383423
105.0,0.42399999999999993,1.576,5.924547433853149
106.0,0.42399999999999993,1.576,4.9886863231658936
107.0,0.42399999999999993,1.576,5.316206693649292
108.0,0.42399999999999993,1.576,11.217479228973389
109.0,0.42399999999999993,1.576,5.084718465805054
110.0,0.42399999999999993,1.576,5.219496011734009
111.0,0.42399999999999993,1.576,4.801616191864014
112.0,0.42399999999999993,1.576,5.039229869842529
113.0,0.42399999999999993,1.576,5.604733228683472
114.0,0.42399999999999993,1.576,4.837054491043091
115.0,0.42399999999999993,1.576,6.499722719192505
116.0,0.42399999999999993,1.576,4.927610158920288
117.0,0.42399999999999993,1.576,5.568284034729004
118.0,0.42399999999999993,1.576,5.075645685195923
119.0,0.42399999999999993,1.576,4.796508312225342
120.0,0.42399999999999993,1.576,5.476617097854614
121.0,0.42399999999999993,1.576,4.730684995651245
122.0,0.42399999999999993,1.576,6.471477508544922
123.0,0.42399999999999993,1.576,4.812164068222046
129.0,0.42399999999999993,1.576,6.737596035003662
130.0,0.42399999999999993,1.576,4.990100383758545
131.0,0.42399999999999993,1.576,4.847823858261108
132.0,0.4223999999999999,1.5776000000000001,6.198338508605957
133.0,0.4223999999999999,1.5776000000000001,4.882508754730225
134.0,0.4223999999999999,1.5776000000000001,4.88364839553833
135.0,0.4223999999999999,1.5776000000000001,5.038496971130371
