cost,incumbents,operation_time
50.0,1.4809,0.0
54.19509615063698,1.4809,136.21915078163147
63.3996287983621,1.4809,238.4460506439209
72.82393772052035,1.4809,342.26387667655945
82.81002426245902,1.4809,453.40006494522095
92.32737366562472,1.4809,631.7292954921722
101.22776707129333,1.4809,736.0422034263611
110.96039616296252,1.4809,829.3054835796356
117.73045595379884,1.4809,987.628258228302
125.66682919025845,1.4809,1128.7201464176178
133.13608609976276,1.4809,1251.398738861084
141.36477324807686,1.4809,1374.5723886489868
150.63220084594664,1.4809,1502.043662071228
