cost,SR,data,y,operation_time
1.0,0.776,"[0.2861694086343, 0.1322523645125, 1.3306293407502, 0.2668785210699]",1.224,1.2623989582061768
8.0,0.7684,"[0.17465374358, 0.2900424796157, 3.5154180849424, 0.8604878969491]",1.2316,0.5639297962188721
11.0,0.7684,"[0.3441899322905, 0.1833622179925, 3.1045413683579, 0.5876693706959]",1.1278000000000001,0.43373799324035645
12.0,0.7684,"[0.2324634098448, 0.3982972990721, 4.894966089637, 0.0563310496509]",1.2051,0.41146087646484375
13.0,0.6431,"[0.3976173403673, 0.2654880281538, 5.5784719385934, 0.1739407423884]",1.3569,0.3080861568450928
18.0,0.6431,"[0.2085381987505, 0.1616407819092, 2.2154761017124, 0.705530680716]",1.1198000000000001,0.44867706298828125
27.0,0.6431,"[0.3101079681888, 0.3455812427215, 4.1972528835386, 0.994693281129]",1.3334000000000001,0.49690818786621094
29.0,0.6431,"[0.1212574223056, 0.2221622771583, 0.4432471086898, 0.4013510793447]",1.1294,0.23204493522644043
31.0,0.6127,"[0.3432073301636, 0.3367751336657, 1.6246471546752, 0.4396846676245]",1.3873,0.27125120162963867
39.0,0.6127,"[0.2299338526092, 0.2355099561624, 6.1662659274867, 0.9085372341797]",1.1778,0.31906986236572266
43.0,0.6127,"[0.2514109587297, 0.2765649355948, 0.2572122053036, 0.635444031097]",1.2388000000000001,0.2687699794769287
44.0,0.6127,"[0.137926623784, 0.1551054801792, 4.40473060815, 0.2293508080766]",1.069,0.21219587326049805
45.0,0.6127,"[0.3023115202785, 0.2086850147694, 3.7136514780675, 0.0951296882704]",1.1905000000000001,0.23918890953063965
48.0,0.6127,"[0.1161620661616, 0.3684340767562, 1.1354429836207, 0.500986254774]",1.1309,0.25970983505249023
54.0,0.6127,"[0.3649852541275, 0.1001188981347, 5.4737913842167, 0.790911805816]",1.2274,0.31299495697021484
56.0,0.6127,"[0.1790643957444, 0.3176354846917, 2.5042613619547, 0.3218381395563]",1.2384000000000002,0.23386096954345703
58.0,0.6127,"[0.378543337062, 0.244037978258, 4.1031180433132, 0.3585258396342]",1.3752,0.28929591178894043
63.0,0.6127,"[0.1900590021163, 0.3288422222249, 0.7394511834642, 0.7649317225441]",1.24,0.34681010246276855
66.0,0.6127,"[0.2910794490017, 0.1448926016688, 5.875763581778, 0.5387420700863]",1.113,0.2952768802642822
67.0,0.6127,"[0.1028059714474, 0.2873545784503, 2.1210865967077, 0.0700956499204]",1.1049,2.461122751235962
68.0,0.5650999999999999,"[0.2671131285839, 0.3769806418568, 2.805887490968, 0.1996630737558]",1.4349,0.22483205795288086
72.0,0.5650999999999999,"[0.1561922702007, 0.2007335245609, 4.9915391929801, 0.6680883942172]",1.0909,0.24812912940979004
79.0,0.5650999999999999,"[0.3251791486517, 0.307404635381, 1.4259351123096, 0.879856579937]",1.3395000000000001,0.29909396171569824
81.0,0.5650999999999999,"[0.2140296945348, 0.1109265475534, 3.2172226041551, 0.4732140405104]",1.0568,0.260638952255249
83.0,0.5650999999999999,"[0.3213589227758, 0.3008318006061, 5.1827736583203, 0.4339191485196]",1.3238,0.28344011306762695
84.0,0.5098,"[0.3399359315582, 0.3849888878403, 2.8209272407585, 0.075531223611]",1.4902,0.24010682106018066
85.0,0.5098,"[0.3580828358515, 0.3673576099937, 2.653545760749, 0.2003450720523]",1.4499,0.24288201332092285
86.0,0.5098,"[0.3427200499666, 0.3868480093391, 2.5851917383791, 0.0537735172071]",1.4776,0.2266988754272461
87.0,0.5098,"[0.3277901263157, 0.3572064146153, 2.6139952039646, 0.0312658995694]",1.4032,0.22054076194763184
88.0,0.5098,"[0.3482523627838, 0.3631326547526, 2.5417724629562, 0.1412601169203]",1.4295,0.22207093238830566
89.0,0.4849999999999999,"[0.3442950246856, 0.3984392364942, 2.6435643979231, 0.2189963490402]",1.5150000000000001,0.24868464469909668
90.0,0.4849999999999999,"[0.3387312086257, 0.3751630578228, 2.7019868478354, 0.2247675970504]",1.4558,0.21864104270935059
91.0,0.4849999999999999,"[0.3501287923169, 0.3800787582713, 2.6268626695474, 0.0643905438201]",1.4722000000000002,0.22373008728027344
95.0,0.4849999999999999,"[0.3483154740158, 0.3987667494368, 5.241246996164, 0.6139937029887]",1.4512,0.27750325202941895
97.0,0.48439999999999994,"[0.3761023546587, 0.3999904649091, 4.1968891064501, 0.3651972854999]",1.5156,0.26700520515441895
98.0,0.44909999999999983,"[0.3721804405613, 0.3988927694377, 3.5369321634953, 0.2208983909006]",1.5509000000000002,0.2261791229248047
99.0,0.44819999999999993,"[0.3523124938038, 0.3983962545453, 3.1998660554498, 0.1153920909075]",1.5518,0.2195279598236084
101.0,0.42469999999999986,"[0.3875600910094, 0.3996990334878, 3.2942620887553, 0.4202935657673]",1.5753000000000001,0.24972319602966309
102.0,0.42469999999999986,"[0.3715368524255, 0.3984392364942, 3.8215388745058, 0.082758656109]",1.5303,0.24448204040527344
103.0,0.42469999999999986,"[0.3505750783766, 0.3774953102385, 4.5016536458394, 0.0110967487824]",1.4193,0.26383519172668457
105.0,0.42469999999999986,"[0.1632692253102, 0.211757796932, 1.4689477456112, 0.3392719494239]",1.0953000000000002,0.20562410354614258
107.0,0.42469999999999986,"[0.1839395619136, 0.2153192111192, 0.9032105930159, 0.4577086417834]",1.1280000000000001,0.22081398963928223
108.0,0.42469999999999986,"[0.3712492064261, 0.3988234006407, 3.8854298045478, 0.006435789898]",1.5265,0.20325899124145508
109.0,0.42469999999999986,"[0.3721804405613, 0.3987694850248, 3.7656250652821, 0.0185404982081]",1.5366,0.22254300117492676
110.0,0.42469999999999986,"[0.3705103261324, 0.3986630011641, 3.8903607283692, 0.0480556861442]",1.5249000000000001,0.2162928581237793
111.0,0.42469999999999986,"[0.3726483652603, 0.3988108163577, 3.8798075155961, 0.0784860000794]",1.5295,0.2531099319458008
112.0,0.42469999999999986,"[0.370677286721, 0.3984392364942, 3.6525888256112, 0.0161396783005]",1.5426,0.23923897743225098
113.0,0.42469999999999986,"[0.3686347134136, 0.3985616373573, 6.221006001949, 0.0376750765815]",1.5597,0.3397030830383301
114.0,0.42469999999999986,"[0.3731814908733, 0.3987152286449, 5.6752466086712, 0.080081439261]",1.5392000000000001,0.42458415031433105
123.0,0.42469999999999986,"[0.1414935092763, 0.1640312801399, 5.1646166579528, 0.9619020815987]",1.0762,0.4195988178253174
124.0,0.42469999999999986,"[0.3699185649722, 0.3989974211886, 6.2301592377578, 0.0650649324301]",1.5627,0.2743558883666992
129.0,0.42469999999999986,"[0.3045833877203, 0.2456626568157, 5.3840442398592, 0.7025688717582]",1.2547000000000001,0.30858802795410156
130.0,0.42469999999999986,"[0.3697716119049, 0.3992492013929, 6.2553531381535, 0.0601264372845]",1.5638,0.250823974609375
131.0,0.42469999999999986,"[0.3670467036244, 0.399765397039, 6.2717339652565, 0.0666108359311]",1.5629000000000002,0.24057221412658691
132.0,0.42469999999999986,"[0.3726483652603, 0.3992438456439, 3.9006276446151, 0.0292010692789]",1.5274,0.24203014373779297
133.0,0.42469999999999986,"[0.3728943846548, 0.3988278944902, 3.9369295161951, 0.1222689833745]",1.5252000000000001,0.27435898780822754
134.0,0.42469999999999986,"[0.3691761934623, 0.3996307287978, 4.3665004174798, 0.0509041413582]",1.4869,0.23049306869506836
135.0,0.42469999999999986,"[0.3699645428993, 0.3992646161929, 6.2417489654496, 0.142597867969]",1.5625,0.22188496589660645
136.0,0.42469999999999986,"[0.3735730796664, 0.3995580527443, 6.2381405193092, 0.1454358079442]",1.5652000000000001,0.20782899856567383
138.0,0.42469999999999986,"[0.2165487372944, 0.2655281451522, 6.0335824308821, 0.4704590930757]",1.2141,0.1990811824798584
140.0,0.42469999999999986,"[0.3716057156589, 0.3992649133363, 6.256266087721, 0.3542229586493]",1.5650000000000002,0.21924805641174316
142.0,0.42469999999999986,"[0.3712502763732, 0.3994906088595, 6.252334116034, 0.3518151565084]",1.5654000000000001,0.2145528793334961
143.0,0.42469999999999986,"[0.3726100178719, 0.3992492013929, 6.2553531381535, 0.2574464527133]",1.5637,0.2216780185699463
144.0,0.42469999999999986,"[0.3724003489802, 0.3995104935187, 6.254020983272, 0.260627015699]",1.5649000000000002,0.21521782875061035
145.0,0.42469999999999986,"[0.3707370430746, 0.3991816736841, 6.248761966253, 0.2251310976787]",1.5643,0.22218966484069824
