cost,SR,operation_time
97.0,10.99099871,2320.211845636368
104.0,10.99099871,2557.038032054901
111.0,10.99099871,1988.3297019004822
118.0,10.99099871,1941.0019438266754
125.0,10.99099871,1934.482571363449
132.0,10.99099871,1949.280949831009
139.0,10.99099871,1964.3825149536133
146.0,10.99099871,1970.7244327068329
153.0,10.99099871,2003.0262625217438
160.0,10.99099871,2006.1949858665466
