cost,SR,IR,rmse,r2,max_value,operation_time
50.0,2.020938307751514,49.181403600708045,13.373642397115715,-0.08424993333612085,46.428639023791455,0.0
51.0,1.839648924236613,48.58939850248022,13.68718260668953,-0.13568558763051364,46.609928407306356,0.5333306789398193
52.0,0.026594206457104974,45.07070138413875,13.853476049713082,-0.16344942165057885,48.422983125085864,0.5246133804321289
53.0,0.026594206457104974,46.630197611636994,13.698457686567927,-0.13755744398627745,48.422983125085864,0.5322868824005127
54.0,0.026594206457104974,43.55642954994341,14.034695695146109,-0.19408706189550218,48.422983125085864,0.545128345489502
55.0,0.01950911292122015,45.98654642050378,13.567865576775228,-0.11597137756204745,48.43006821862175,0.5517215728759766
56.0,0.01950911292122015,41.5913492428546,14.209982226328696,-0.22410045973835024,48.43006821862175,0.5476160049438477
57.0,0.01950911292122015,47.41916242273586,14.958268314306332,-0.3564151438406078,48.43006821862175,0.5386669635772705
58.0,0.01950911292122015,47.65049143700379,14.4894167729417,-0.27271687029462677,48.43006821862175,0.5758240222930908
59.0,0.01950911292122015,47.56912874185124,14.592811005166075,-0.2909454980281867,48.43006821862175,0.5625975131988525
60.0,0.01950911292122015,57.56605164915106,26.520993571058845,-3.263925147586602,48.43006821862175,0.5662548542022705
61.0,0.01950911292122015,57.32952941794002,25.18928353908723,-2.8464635525866653,48.43006821862175,0.5434436798095703
62.0,0.01950911292122015,47.43428019284614,15.006816100710754,-0.3652340542285988,48.43006821862175,0.5673327445983887
63.0,0.01950911292122015,44.207715271071244,13.88532664002771,-0.16880535530804996,48.43006821862175,0.5559132099151611
64.0,0.01950911292122015,44.42335253999059,14.058073504302266,-0.19806839350324457,48.43006821862175,0.5568222999572754
65.0,0.01950911292122015,47.81810483935227,15.116472229190975,-0.38525872013308216,48.43006821862175,0.5609884262084961
66.0,0.01950911292122015,58.57490995823812,28.243537326124017,-3.835798191566223,48.43006821862175,0.5618948936462402
67.0,0.01950911292122015,48.07533867227653,16.18627743484959,-0.5882686057554138,48.43006821862175,0.568368673324585
68.0,0.014896715502075608,58.20063899852613,28.89902788113572,-4.0628663106339316,48.43468061604089,0.5566515922546387
69.0,0.014896715502075608,44.722889045629245,14.091406629612388,-0.20375661376867926,48.43468061604089,0.552130937576294
70.0,0.014896715502075608,57.784354385153144,27.756228646786525,-3.670365875389865,48.43468061604089,0.5868585109710693
71.0,0.014896715502075608,46.88229199897295,15.31662347989191,-0.42218490432662614,48.43468061604089,0.5626628398895264
72.0,0.014896715502075608,37.98987117484941,14.804341165741908,-0.3286425641325559,48.43468061604089,0.566504955291748
73.0,0.014896715502075608,52.7720959274644,19.18274726026255,-1.230753593690503,48.43468061604089,0.559441328048706
74.0,0.014896715502075608,37.4418148102248,14.275758764858319,-0.23545915708413823,48.43468061604089,0.5654597282409668
75.0,0.014896715502075608,58.99819770794663,28.56641225063966,-3.9469940758891804,48.43468061604089,0.5715498924255371
76.0,0.014896715502075608,43.98821570691666,20.33518049552883,-1.506836761244025,48.43468061604089,0.5824167728424072
77.0,0.014896715502075608,48.29313554756154,17.301836736409996,-0.8147399954024119,48.43468061604089,0.5770919322967529
78.0,0.014896715502075608,53.711609524501114,21.750512039030067,-1.8679327429024766,48.43468061604089,0.5720095634460449
79.0,0.014896715502075608,45.378564012689495,16.20441236961327,-0.59182955830181,48.43468061604089,0.5714197158813477
80.0,0.014896715502075608,55.18812705510886,22.28383193596522,-2.010299734760886,48.43468061604089,0.5702040195465088
81.0,0.014896715502075608,44.09785612134822,18.3098017509813,-1.0323442618276606,48.43468061604089,0.5766584873199463
82.0,0.014896715502075608,39.2034000996602,16.284444711306463,-0.6075922343285782,48.43468061604089,0.5853283405303955
83.0,0.014896715502075608,54.79560592800186,21.77742106907688,-1.875033359785487,48.43468061604089,0.593766450881958
84.0,0.014896715502075608,56.08566914321329,24.682577813568695,-2.693269684949837,48.43468061604089,0.6178860664367676
85.0,0.014896715502075608,46.53512131059955,17.73406338462676,-0.9065425592524439,48.43468061604089,0.596458911895752
86.0,0.014896715502075608,50.37838938930029,12.988803131340074,-0.022747108367819013,48.43468061604089,0.586951732635498
87.0,0.014896715502075608,44.866528366702816,21.607662303929903,-1.8303852954380764,48.43468061604089,0.6187283992767334
88.0,0.014896715502075608,45.594106575712495,18.724007553868837,-1.125336040899648,48.43468061604089,0.5917258262634277
89.0,0.014896715502075608,39.68502941668655,15.500496534987127,-0.4565359635629458,48.43468061604089,0.5982532501220703
90.0,0.014896715502075608,51.91592065859024,20.447709590138388,-1.5346577662958683,48.43468061604089,0.6051816940307617
91.0,0.014896715502075608,46.879749018180306,17.360551011559007,-0.8270776376086266,48.43468061604089,0.6108684539794922
92.0,0.014896715502075608,42.82652148454529,16.216663810023146,-0.5942374922532645,48.43468061604089,0.6095738410949707
93.0,0.014896715502075608,47.52242536801543,18.434706849585528,-1.0601671750953034,48.43468061604089,0.610720157623291
94.0,0.014896715502075608,38.18386836326792,21.21254727494697,-1.727819552682147,48.43468061604089,0.615170955657959
95.0,0.014896715502075608,41.2487801993227,21.827520914903193,-1.8882768389926126,48.43468061604089,0.6598186492919922
97.0,0.014896715502075608,39.35286572290897,15.918502645511628,-0.5361528095371777,48.43468061604089,0.6199889183044434
98.0,0.014896715502075608,52.09275233736061,22.213941235159016,-1.9914464223237776,48.43468061604089,0.6141324043273926
99.0,0.014896715502075608,41.16935992032688,17.179686144232,-0.7892063979894492,48.43468061604089,0.6185073852539062
100.0,0.014896715502075608,40.746676345263296,25.40703258801,-2.913252585614423,48.43468061604089,0.6377267837524414
101.0,0.014896715502075608,40.65086670512249,25.018382193568872,-2.794446528300049,48.43468061604089,0.6188209056854248
102.0,-0.07382113095182063,49.529096902808945,21.505024006661227,-1.8035599999569762,48.52339846249479,0.6157832145690918
103.0,-0.07382113095182063,42.496756099836176,22.372228859598064,-2.034230002247729,48.52339846249479,0.6304452419281006
