cost,SR,IR,rmse,r2,max_value,operation_time
30.0,33.028979547982004,38.91931614019102,18.150610053523344,-0.36494828110747224,39.12314294957659,0.0
31.0,33.028979547982004,39.17735445114672,15.230167496233205,0.038956375308008995,39.12314294957659,1.9010071754455566
33.0,33.028979547982004,29.03034808357311,8.035135571995351,0.7325022333741158,39.12314294957659,1.7887184619903564
34.0,33.028979547982004,17.779884582472107,7.153743561183964,0.7879684544980015,39.12314294957659,2.0282952785491943
36.0,33.028979547982004,12.782033817390115,9.187789149323144,0.6502515625416571,39.12314294957659,2.2623648643493652
39.0,33.028979547982004,30.194916988169396,7.02040623129006,0.7957988286669374,39.12314294957659,1.922685146331787
40.0,33.028979547982004,-2.791745756220706,14.837508294555242,0.08787220011822683,39.12314294957659,1.927835464477539
41.0,33.028979547982004,-1.3028727756058913,15.014200586401415,0.06601872315817425,39.12314294957659,2.0463831424713135
44.0,33.028979547982004,80.39664619168784,34.73279518351252,-3.9981952053782335,39.12314294957659,2.0035431385040283
45.0,20.276602520514054,80.85816323137932,34.900654279889935,-4.046623205331374,51.87551997704454,1.9355783462524414
47.0,20.276602520514054,79.12054962889893,33.32155491147408,-3.600279944948043,51.87551997704454,2.109327793121338
51.0,20.276602520514054,71.75087431755017,27.018868760372918,-2.02460082654292,51.87551997704454,1.9583625793457031
52.0,20.276602520514054,67.77374645239006,23.872345036244695,-1.3611517976360012,51.87551997704454,1.9745266437530518
54.0,20.276602520514054,72.28166154143008,27.45175384991848,-2.1222950104480316,51.87551997704454,1.9954402446746826
58.0,20.276602520514054,79.36007966059444,33.536238387999454,-3.6597480911721645,51.87551997704454,2.0165066719055176
59.0,20.276602520514054,79.14240347892594,33.38150437472827,-3.616847743103733,51.87551997704454,2.035337209701538
62.0,20.276602520514054,76.47594019796006,31.015480368048028,-2.985572987219847,51.87551997704454,2.0307486057281494
66.0,20.276602520514054,79.40425274785734,33.567991353657995,-3.6685762051629434,51.87551997704454,2.015554666519165
67.0,12.258842606361576,79.13978167394207,33.33270587142212,-3.6033594003238143,59.89327989119702,2.0541863441467285
70.0,12.258842606361576,71.75711340218075,27.120907186386592,-2.0474891481854365,59.89327989119702,1.9787695407867432
71.0,12.258842606361576,62.29237163649937,20.454241929518076,-0.7334068949085029,59.89327989119702,2.0159363746643066
72.0,12.258842606361576,56.51511884094487,17.700255500522477,-0.29805416093881254,59.89327989119702,2.064495325088501
