cost,SR,IR,rmse,r2,max_value,operation_time
30.0,131.28097090441253,129.59252889555083,48.83321135542172,0.4009225581899313,172.25778641980622,0.0
31.0,131.28097090441253,101.5164035908955,50.87995602470823,0.34965193739439393,172.25778641980622,1.922966480255127
32.0,131.28097090441253,-1196699.9186052529,245694.88097457003,-15165075.744450895,172.25778641980622,1.9278204441070557
35.0,131.28097090441253,186.96121702177422,57.08933924373351,0.18122904299372822,172.25778641980622,1.909937858581543
37.0,131.28097090441253,142.3466607256442,45.19177596354902,0.48693638867008493,172.25778641980622,1.926185131072998
39.0,131.28097090441253,-11413.252235326829,4800.11677438052,-5787.366238527216,172.25778641980622,1.995250940322876
40.0,125.10531641619929,-46879.54194207255,13267.9309943566,-44223.0797452358,178.43344090801946,1.9872455596923828
43.0,125.10531641619929,160.8221848249717,51.3608905832328,0.3372992111021358,178.43344090801946,2.0356597900390625
46.0,125.10531641619929,-77.90571744814906,104.6759687416333,-1.7526207153759925,178.43344090801946,2.0397989749908447
47.0,125.10531641619929,-2746.447701204833,1038.6858730558497,-270.03217238651735,178.43344090801946,2.0339956283569336
50.0,125.10531641619929,123.56708308994726,55.840554459530836,0.21665722882696536,178.43344090801946,2.049602508544922
53.0,125.10531641619929,177.66015248915608,55.94986557353441,0.2135873494984707,178.43344090801946,2.046588182449341
54.0,125.10531641619929,254.9566084784213,85.49917409405833,-0.8364378504451155,178.43344090801946,2.044557571411133
55.0,85.20452054793742,-258302.91472499497,118188.4993565392,-3509156.27544943,218.33423677628133,2.0616981983184814
56.0,85.20452054793742,122.52037742790839,26.69486132373726,0.8209774518502102,218.33423677628133,2.077192783355713
59.0,85.20452054793742,124.89291410895447,32.27721600896801,0.7382754067106727,218.33423677628133,2.098832368850708
61.0,85.20452054793742,-1192.6383833899831,873.4937684184847,-190.6778892586448,218.33423677628133,2.1036839485168457
62.0,85.20452054793742,-65767.64461319477,22142.59672353152,-123170.29205007186,218.33423677628133,2.1479172706604004
64.0,85.20452054793742,-603.8045973862803,482.135243580897,-57.396948579400174,218.33423677628133,2.104600429534912
65.0,85.20452054793742,-2124.0138418677216,872.770549092074,-190.36061678158075,218.33423677628133,2.3760294914245605
66.0,85.20452054793742,39.391926570311284,55.45915985758857,0.22732124973333268,218.33423677628133,2.55061936378479
