cost,SR,operation_time
100.0,-0.602112390000002,22495.08872771263
102.0,-0.602112390000002,1719.5046174526215
109.0,-0.602112390000002,1719.631020784378
112.0,-0.602112390000002,1727.6382672786713
119.0,-0.602112390000002,1761.9743738174438
122.0,-0.602112390000002,1804.4881143569946
128.0,-0.602112390000002,1855.939118862152
131.0,-0.602112390000002,1914.9204308986664
134.0,-0.6021126400000014,1933.3606071472168
141.0,-0.6021126400000014,1951.8868336677551
144.0,-0.6021126400000014,1978.652720451355
151.0,-0.6021126400000014,1989.9425921440125
158.0,-0.6021126400000014,1997.9620509147644
165.0,-0.6021126400000014,2071.3173291683197
167.0,-0.6021126400000014,2296.891949892044
173.0,-0.6021126400000014,3605.6164140701294
180.0,-0.6021126400000014,1994.2901298999786
183.0,-0.6021126400000014,6719.803495645523
185.0,-0.6021126400000014,2340.274866104126
192.0,-0.6021126400000014,2277.1442704200745
199.0,-0.6021126400000014,2566.2309622764587
201.0,-0.6021126400000014,2309.8035798072815
204.0,-0.6021126400000014,2236.1066868305206
207.0,-0.6021126400000014,2243.497183084488
