cost,SR,operation_time,time
0.0,244.0,11.429009437561035,11.429009437561035
8.0,56.8759765625,0.0008304119110107422,0.0006096363067626953
9.0,56.8759765625,0.00048613548278808594,0.0004634857177734375
12.0,56.8759765625,0.00048470497131347656,0.0004763603210449219
15.0,56.8759765625,0.0015344619750976562,0.0005609989166259766
19.0,56.8759765625,0.0008261203765869141,0.0008628368377685547
20.0,56.8759765625,0.0007660388946533203,0.0010213851928710938
21.0,56.8759765625,0.0006134510040283203,0.0009493827819824219
27.0,56.8759765625,0.0007388591766357422,0.0009064674377441406
33.0,56.8759765625,0.0007357597351074219,0.0007596015930175781
34.0,56.8759765625,0.0017962455749511719,0.0020356178283691406
36.0,56.8759765625,0.0008318424224853516,0.0014276504516601562
41.0,56.8759765625,0.0006413459777832031,0.0011942386627197266
44.0,56.8759765625,0.0006144046783447266,0.0013246536254882812
46.0,56.8759765625,0.0005500316619873047,0.0012996196746826172
47.0,56.8759765625,0.0005536079406738281,0.00133514404296875
55.0,56.8759765625,0.0005207061767578125,0.0014088153839111328
63.0,56.8759765625,0.0005431175231933594,0.0014879703521728516
64.0,56.8759765625,0.0005860328674316406,0.001348257064819336
66.0,56.8759765625,0.0008037090301513672,0.0010800361633300781
69.0,56.8759765625,0.0005710124969482422,0.0011014938354492188
74.0,56.8759765625,0.0009417533874511719,0.0011210441589355469
76.0,56.8759765625,0.0008113384246826172,0.0017461776733398438
77.0,56.8759765625,0.0005903244018554688,0.0019559860229492188
84.0,56.8759765625,0.0008609294891357422,0.0014727115631103516
89.0,56.8759765625,0.0005502700805664062,0.0016486644744873047
98.0,56.8759765625,0.0006122589111328125,0.001312255859375
107.0,56.8759765625,0.0005459785461425781,0.0013196468353271484
115.0,56.8759765625,0.0007739067077636719,0.0014374256134033203
124.0,56.8759765625,0.0005478858947753906,0.0014252662658691406
127.0,56.8759765625,0.0006587505340576172,0.001440286636352539
136.0,56.8759765625,0.0005233287811279297,0.0014615058898925781
144.0,56.8759765625,0.00049591064453125,0.0014896392822265625
152.0,56.8759765625,0.0007288455963134766,0.0023419857025146484
161.0,56.8759765625,0.00046896934509277344,0.0018694400787353516
162.0,56.8759765625,0.0005381107330322266,0.0016601085662841797
163.0,56.8759765625,0.0005309581756591797,0.0016562938690185547
171.0,56.8759765625,0.0006463527679443359,0.0016772747039794922
177.0,56.8759765625,0.00048828125,0.0019135475158691406
179.0,56.8759765625,0.0006396770477294922,0.0018382072448730469
185.0,56.8759765625,0.0005314350128173828,0.0018296241760253906
189.0,56.8759765625,0.00048542022705078125,0.0018498897552490234
197.0,52.01786804199219,0.00045943260192871094,0.002514362335205078
205.0,52.01786804199219,0.0009980201721191406,0.0019452571868896484
212.0,52.01786804199219,0.0006945133209228516,0.0019445419311523438
219.0,-11.350265502929688,0.0006740093231201172,0.0019855499267578125
227.0,-11.350265502929688,0.0007336139678955078,0.0028228759765625
228.0,-11.350265502929688,0.0006606578826904297,0.0023484230041503906
229.0,-11.350265502929688,0.0006968975067138672,0.0023462772369384766
231.0,-13.229339599609375,0.0005030632019042969,0.002679586410522461
236.0,-13.229339599609375,0.0004494190216064453,0.0022394657135009766
243.0,-13.229339599609375,0.0005679130554199219,0.0023255348205566406
252.0,-13.229339599609375,0.0004661083221435547,0.0028154850006103516
254.0,-13.229339599609375,0.00047016143798828125,0.0027685165405273438
256.0,-13.229339599609375,0.00047278404235839844,0.002827882766723633
265.0,-13.229339599609375,0.0005950927734375,0.0036034584045410156
274.0,-13.229339599609375,0.0004818439483642578,0.0026297569274902344
275.0,-13.229339599609375,0.0004775524139404297,0.0026443004608154297
279.0,-13.229339599609375,0.000514984130859375,0.002616405487060547
283.0,-13.229339599609375,0.0008332729339599609,0.0025954246520996094
289.0,-13.229339599609375,0.00048470497131347656,0.0030891895294189453
294.0,-13.229339599609375,0.00046753883361816406,0.005576133728027344
302.0,-13.229339599609375,0.0004730224609375,0.004988908767700195
306.0,-13.229339599609375,0.00045871734619140625,0.0026824474334716797
314.0,-13.229339599609375,0.0004665851593017578,0.002644062042236328
315.0,-13.229339599609375,0.0007641315460205078,0.0030646324157714844
321.0,-13.229339599609375,0.0004363059997558594,0.0027687549591064453
322.0,-13.229339599609375,0.0004642009735107422,0.003361225128173828
328.0,-13.229339599609375,0.0004677772521972656,0.002874135971069336
331.0,-13.229339599609375,0.0004646778106689453,0.002836465835571289
338.0,-13.229339599609375,0.00045871734619140625,0.002840757369995117
345.0,-13.229339599609375,0.00047516822814941406,0.003316640853881836
351.0,-13.229339599609375,0.0004696846008300781,0.003154754638671875
359.0,-13.229339599609375,0.00046706199645996094,0.0029616355895996094
366.0,-13.229339599609375,0.0004820823669433594,0.002922534942626953
374.0,-15.9805908203125,0.0004525184631347656,0.0033097267150878906
375.0,-15.9805908203125,0.0006594657897949219,0.0032482147216796875
383.0,-21.47265625,0.00046753883361816406,0.0033197402954101562
390.0,-23.936614990234375,0.0004742145538330078,0.004007816314697266
397.0,-26.107025146484375,0.00047779083251953125,0.005953788757324219
404.0,-26.107025146484375,0.0004832744598388672,0.008632421493530273
411.0,-26.107025146484375,0.0004906654357910156,0.00484156608581543
418.0,-35.07867431640625,0.00044274330139160156,0.006221294403076172
427.0,-35.07867431640625,0.0004851818084716797,0.010772705078125
434.0,-35.07867431640625,0.0004532337188720703,0.009134292602539062
441.0,-35.07867431640625,0.0004811286926269531,0.005534648895263672
448.0,-37.28936767578125,0.0004668235778808594,0.003870725631713867
450.0,-37.28936767578125,0.00048351287841796875,0.0062792301177978516
457.0,-37.28936767578125,0.00045299530029296875,0.0032699108123779297
464.0,-37.28936767578125,0.0006268024444580078,0.003180980682373047
473.0,-37.28936767578125,0.0005140304565429688,0.0032262802124023438
482.0,-37.28936767578125,0.0007576942443847656,0.00436711311340332
488.0,-44.759033203125,0.0008780956268310547,0.0036363601684570312
489.0,-44.759033203125,0.0009462833404541016,0.0033257007598876953
494.0,-44.759033203125,0.003167867660522461,0.0032961368560791016
498.0,-44.759033203125,0.0005931854248046875,0.0034639835357666016
503.0,-44.759033203125,0.0007390975952148438,0.003584146499633789
510.0,-44.759033203125,0.0010747909545898438,0.0034942626953125
516.0,-44.759033203125,0.0005426406860351562,0.0034661293029785156
517.0,-44.759033203125,0.0005071163177490234,0.003517627716064453
523.0,-44.759033203125,0.0006022453308105469,0.007513523101806641
