cost,incumbents,operation_time
30.0,53.60799170480327,0.0
34.0,53.60799170480327,25.644947290420532
35.0,53.60799170480327,47.47974896430969
39.0,53.60799170480327,66.30826115608215
43.0,53.60799170480327,87.9096736907959
47.0,53.60799170480327,109.2628014087677
49.0,53.60799170480327,130.91370391845703
51.0,53.60799170480327,152.89202237129211
55.0,53.60799170480327,176.70733094215393
59.0,53.60799170480327,200.4969093799591
60.0,53.60799170480327,224.50871348381042
64.0,53.60799170480327,246.78020071983337
68.0,53.60799170480327,269.6223614215851
72.0,53.60799170480327,292.31203055381775
76.0,53.60799170480327,314.2668368816376
80.0,53.60799170480327,336.58926796913147
84.0,53.60799170480327,358.77657866477966
88.0,53.60799170480327,381.61255073547363
92.0,53.60799170480327,404.79845571517944
96.0,53.60799170480327,431.698956489563
100.0,53.60799170480327,459.0357823371887
104.0,53.60799170480327,486.4556396007538
108.0,53.60799170480327,514.1205804347992
111.0,53.60799170480327,542.3179261684418
115.0,53.60799170480327,571.3247194290161
119.0,53.60799170480327,600.1566927433014
123.0,53.60799170480327,629.1517672538757
127.0,53.60799170480327,658.1035125255585
131.0,53.60799170480327,687.1616163253784
135.0,53.60799170480327,716.6064002513885
139.0,53.60799170480327,747.3083102703094
143.0,53.60799170480327,778.1676278114319
147.0,53.60799170480327,809.7076110839844
150.0,53.60799170480327,841.8973455429077
154.0,53.60799170480327,874.2108445167542
