cost,SR,operation_time,time
0.0,2.2,12.126400232315063,12.126400232315063
3.0,0.8506959199905397,0.0004410743713378906,0.0006575584411621094
6.0,0.8506959199905397,0.0005743503570556641,0.00037097930908203125
12.0,0.8506959199905397,0.00043082237243652344,0.00035381317138671875
13.0,0.8506959199905397,0.0005133152008056641,0.00040221214294433594
14.0,0.8506959199905397,0.0003635883331298828,0.0005679130554199219
23.0,0.8506959199905397,0.0004024505615234375,0.0008046627044677734
27.0,0.8506959199905397,0.0003466606140136719,0.000579833984375
28.0,0.8506959199905397,0.00048232078552246094,0.0007610321044921875
30.0,0.8506959199905397,0.0003399848937988281,0.0013134479522705078
34.0,0.8506959199905397,0.0003516674041748047,0.0012938976287841797
42.0,0.8506959199905397,0.0004818439483642578,0.0010344982147216797
43.0,0.8506959199905397,0.000507354736328125,0.0012047290802001953
44.0,0.8506959199905397,0.0003750324249267578,0.0009706020355224609
50.0,0.8506959199905397,0.00041294097900390625,0.0014483928680419922
53.0,0.29776413440704363,0.0005629062652587891,0.0010962486267089844
55.0,0.29776413440704363,0.0005593299865722656,0.0012466907501220703
57.0,0.29776413440704363,0.001201629638671875,0.0009534358978271484
60.0,0.29776413440704363,0.0006213188171386719,0.0008907318115234375
67.0,0.29776413440704363,0.0004932880401611328,0.0009288787841796875
68.0,0.29776413440704363,0.00040268898010253906,0.0011398792266845703
69.0,0.29776413440704363,0.0004296302795410156,0.0010042190551757812
76.0,0.29776413440704363,0.00038123130798339844,0.0016567707061767578
80.0,0.29776413440704363,0.0004420280456542969,0.0024445056915283203
82.0,0.29776413440704363,0.0004115104675292969,0.0013976097106933594
83.0,0.29776413440704363,0.0005087852478027344,0.0014030933380126953
84.0,0.1268674850463869,0.00041484832763671875,0.0012621879577636719
85.0,0.1019656181335451,0.0005779266357421875,0.001375436782836914
86.0,0.1019656181335451,0.00048661231994628906,0.001237630844116211
87.0,0.1019656181335451,0.0006632804870605469,0.0012676715850830078
88.0,0.1019656181335451,0.0005376338958740234,0.0012927055358886719
89.0,0.1019656181335451,0.002248525619506836,0.0013079643249511719
90.0,0.1019656181335451,0.0004303455352783203,0.001497507095336914
99.0,0.1019656181335451,0.0006682872772216797,0.0014541149139404297
104.0,0.1019656181335451,0.0014414787292480469,0.002089977264404297
108.0,0.1019656181335451,0.0007352828979492188,0.001741170883178711
112.0,0.1019656181335451,0.0004341602325439453,0.0018925666809082031
116.0,0.1019656181335451,0.0016036033630371094,0.0018429756164550781
119.0,0.1019656181335451,0.0003581047058105469,0.0016281604766845703
127.0,0.1019656181335451,0.0010464191436767578,0.001630544662475586
130.0,0.1019656181335451,0.0005326271057128906,0.0016770362854003906
134.0,0.1019656181335451,0.0003857612609863281,0.002145528793334961
138.0,0.1019656181335451,0.00032019615173339844,0.001756429672241211
142.0,0.1019656181335451,0.0005640983581542969,0.0032668113708496094
146.0,0.1019656181335451,0.000461578369140625,0.0022156238555908203
150.0,0.1019656181335451,0.0004291534423828125,0.0018725395202636719
158.0,0.1019656181335451,0.00035834312438964844,0.0019073486328125
162.0,0.1019656181335451,0.0004956722259521484,0.0023870468139648438
166.0,0.1019656181335451,0.0003552436828613281,0.0021724700927734375
170.0,0.1019656181335451,0.0004961490631103516,0.0020837783813476562
177.0,0.1019656181335451,0.0007255077362060547,0.003534555435180664
184.0,0.1019656181335451,0.0006289482116699219,0.0027680397033691406
190.0,0.1019656181335451,0.0006797313690185547,0.0020627975463867188
195.0,0.1019656181335451,0.00067138671875,0.0023162364959716797
204.0,0.1019656181335451,0.000492095947265625,0.0026788711547851562
209.0,0.09932012557983416,0.0005147457122802734,0.0021865367889404297
213.0,0.09932012557983416,0.00048661231994628906,0.003088235855102539
219.0,0.09932012557983416,0.0006265640258789062,0.0023560523986816406
225.0,0.09932012557983416,0.0004482269287109375,0.0024390220642089844
234.0,0.09932012557983416,0.0006625652313232422,0.0029180049896240234
243.0,0.09932012557983416,0.0006358623504638672,0.0027663707733154297
252.0,0.09932012557983416,0.0009508132934570312,0.0026276111602783203
261.0,0.09932012557983416,0.0009996891021728516,0.0038924217224121094
270.0,0.09932012557983416,0.0007266998291015625,0.003765583038330078
279.0,0.09932012557983416,0.0005202293395996094,0.0031783580780029297
280.0,0.09932012557983416,0.00049591064453125,0.002680063247680664
289.0,0.09932012557983416,0.0004458427429199219,0.00419163703918457
298.0,0.09932012557983416,0.0006756782531738281,0.0034637451171875
299.0,0.09932012557983416,0.0005028247833251953,0.0041158199310302734
308.0,0.09932012557983416,0.0004241466522216797,0.0030448436737060547
317.0,0.09932012557983416,0.0007112026214599609,0.0044367313385009766
326.0,0.09932012557983416,0.0004916191101074219,0.004554033279418945
327.0,0.09932012557983416,0.00057220458984375,0.004510402679443359
336.0,0.09932012557983416,0.0006730556488037109,0.0031270980834960938
345.0,-0.033534812927245916,0.0004680156707763672,0.0043413639068603516
354.0,-0.033534812927245916,0.0005869865417480469,0.005891561508178711
363.0,-0.033534812927245916,0.00047588348388671875,0.0031633377075195312
364.0,-0.033534812927245916,0.0004849433898925781,0.0035834312438964844
373.0,-0.033534812927245916,0.0006291866302490234,0.0034720897674560547
382.0,-0.033534812927245916,0.00046634674072265625,0.003642559051513672
391.0,-0.033534812927245916,0.0006892681121826172,0.0033223628997802734
400.0,-0.033534812927245916,0.0005788803100585938,0.0033016204833984375
409.0,-0.033534812927245916,0.0004341602325439453,0.003580808639526367
418.0,-0.033534812927245916,0.0004425048828125,0.0033385753631591797
427.0,-0.033534812927245916,0.00047588348388671875,0.004447221755981445
436.0,-0.033534812927245916,0.0004725456237792969,0.004957437515258789
445.0,-0.033534812927245916,0.0004496574401855469,0.003622293472290039
454.0,-0.033534812927245916,0.0007548332214355469,0.0036411285400390625
457.0,-0.033534812927245916,0.0006260871887207031,0.0039806365966796875
466.0,-0.033534812927245916,0.0005385875701904297,0.004048585891723633
475.0,-0.04686384201049787,0.00040721893310546875,0.00405120849609375
484.0,-0.047735977172851385,0.00040793418884277344,0.0038788318634033203
493.0,-0.047735977172851385,0.00041937828063964844,0.00405430793762207
502.0,-0.047735977172851385,0.0004546642303466797,0.004569292068481445
511.0,-0.05005960464477521,0.0004150867462158203,0.00395655632019043
520.0,-0.05005960464477521,0.0005478858947753906,0.0041081905364990234
522.0,-0.05005960464477521,0.00047659873962402344,0.004566192626953125
523.0,-0.05005960464477521,0.00042891502380371094,0.004204511642456055
532.0,-0.05005960464477521,0.0004622936248779297,0.004008293151855469
540.0,-0.05005960464477521,0.0005450248718261719,0.0038366317749023438
549.0,-0.05005960464477521,0.0003871917724609375,0.004388093948364258
