cost,incumbents,operation_time
30.0,11.132559691222792,0.0
34.0,11.132559691222792,30.671597957611084
38.0,11.132559691222792,58.471956968307495
42.0,11.132559691222792,83.65026068687439
46.0,11.132559691222792,112.15070390701294
50.0,11.132559691222792,141.21997117996216
54.0,11.132559691222792,168.3623104095459
58.0,11.132559691222792,193.7126214504242
63.0,11.132559691222792,221.64830827713013
67.0,11.132559691222792,250.11813116073608
70.0,11.132559691222792,275.6156430244446
73.0,11.132559691222792,301.4703733921051
77.0,11.132559691222792,327.8082609176636
81.0,11.132559691222792,353.6280903816223
85.0,11.132559691222792,378.6948244571686
89.0,11.132559691222792,404.0265197753906
93.0,11.132559691222792,429.68963980674744
97.0,11.132559691222792,453.75248742103577
100.0,11.132559691222792,477.97001338005066
104.0,11.132559691222792,506.1941785812378
107.0,11.132559691222792,534.7528684139252
110.0,11.132559691222792,564.0945844650269
113.0,11.132559691222792,593.1673991680145
116.0,11.132559691222792,622.0976858139038
120.0,11.132559691222792,651.6682074069977
121.0,11.132559691222792,681.1122705936432
122.0,11.132559691222792,710.9412620067596
125.0,11.132559691222792,740.7872393131256
129.0,11.132559691222792,771.0853879451752
133.0,11.132559691222792,801.349357843399
136.0,11.132559691222792,832.1982007026672
139.0,11.132559691222792,862.7360610961914
143.0,11.132559691222792,893.5396928787231
147.0,11.132559691222792,924.3707408905029
150.0,11.132559691222792,955.1315762996674
153.0,11.132559691222792,986.7016568183899
154.0,11.132559691222792,1017.9316244125366
158.0,11.132559691222792,1050.0516920089722
162.0,11.132559691222792,1081.9954888820648
163.0,11.132559691222792,1114.619238615036
166.0,11.132559691222792,1147.0567619800568
169.0,11.132559691222792,1180.0506672859192
172.0,11.132559691222792,1213.4193449020386
174.0,11.132559691222792,1246.5529959201813
178.0,11.132559691222792,1280.0989470481873
182.0,11.132559691222792,1313.3997807502747
186.0,11.132559691222792,1347.5114152431488
187.0,11.132559691222792,1381.7104604244232
190.0,11.132559691222792,1415.8595697879791
193.0,11.132559691222792,1450.8882722854614
197.0,11.132559691222792,1486.147020816803
201.0,11.132559691222792,1521.9630722999573
204.0,11.132559691222792,1558.1290547847748
205.0,11.132559691222792,1594.3469841480255
206.0,11.132559691222792,1630.96737742424
207.0,11.132559691222792,1668.0844638347626
210.0,11.132559691222792,1705.1109113693237
211.0,11.132559691222792,1742.9186675548553
212.0,11.464831198821777,1780.7100274562836
213.0,11.464831198821777,1818.8342490196228
216.0,11.464831198821777,1856.981345653534
220.0,11.464831198821777,1895.690011024475
221.0,11.464831198821777,1935.1406536102295
225.0,11.464831198821777,1974.3250181674957
226.0,11.464831198821777,2013.904572725296
230.0,11.464831198821777,2054.5788295269012
235.0,11.464831198821777,2094.961948156357
236.0,11.464831198821777,2135.241587162018
239.0,11.464831198821777,2176.55939412117
240.0,11.464831198821777,2218.0097184181213
244.0,11.464831198821777,2259.933524131775
248.0,11.464831198821777,2302.206755399704
249.0,11.464831198821777,2344.4612770080566
250.0,11.464831198821777,2387.0151534080505
251.0,11.464831198821777,2430.5474174022675
252.0,12.663386822114319,2473.9684200286865
253.0,12.663386822114319,2517.8951001167297
254.0,12.663386822114319,2563.0725383758545
259.0,12.663386822114319,2607.800800561905
262.0,12.663386822114319,2652.9509332180023
263.0,12.663386822114319,2698.976155281067
266.0,12.663386822114319,2744.9099690914154
270.0,12.663386822114319,2790.8363814353943
271.0,12.663386822114319,2837.731808423996
275.0,12.663386822114319,2884.699953556061
276.0,12.663386822114319,2932.147097826004
280.0,12.663386822114319,2979.9681293964386
282.0,12.663386822114319,3028.6937639713287
286.0,12.663386822114319,3077.734301805496
287.0,12.663386822114319,3126.6333763599396
288.0,12.663386822114319,3176.2040464878082
289.0,12.663386822114319,3225.9163761138916
290.0,12.663386822114319,3274.1476771831512
291.0,12.663386822114319,3323.346395254135
292.0,12.663386822114319,3373.7989711761475
293.0,13.038747624477493,3423.9823858737946
294.0,13.038747624477493,3474.919266939163
295.0,13.038747624477493,3527.0868077278137
296.0,13.038747624477493,3579.2140595912933
301.0,13.038747624477493,3632.194090127945
