cost,SR,IR,rmse,r2,max_value,operation_time
50.0,7.698839454477593,7.875003040063696,1.1435084282298213,0.9804845512279393,47.05559703844233,0.0
52.0,7.448547343676594,4.969729379416336,49.300021615367186,-35.27388085548855,47.30588914924333,2.0848746299743652
53.0,7.448547343676594,21.348698699779717,9.18981724806678,-0.26041497005925307,47.30588914924333,2.098132610321045
54.0,-0.17130278372896868,-13.945529110076905,60.72522843068427,-54.0348918214296,54.92573927664889,2.0777642726898193
55.0,-0.17130278372896868,-513.2878147398809,99.80348797450267,-147.6590118656034,54.92573927664889,2.298834800720215
58.0,-0.17130278372896868,13.087625679546932,40.766532016825245,-23.803178487840082,54.92573927664889,2.42964506149292
59.0,-0.17130278372896868,-12.993917021598065,14.443524344939503,-2.1134805596427046,54.92573927664889,2.350236177444458
60.0,-0.17130278372896868,-33.25925069076196,18.794434028120452,-4.271792486378043,54.92573927664889,2.384042978286743
61.0,-0.17130278372896868,-54.465916637673516,25.602910356860704,-8.783144631307778,54.92573927664889,2.3128914833068848
63.0,-0.17130278372896868,-10.400083424421297,68.66161015652597,-69.3603141994273,54.92573927664889,2.394270420074463
64.0,-0.17130278372896868,-16.265799639949435,7.028798505442481,0.2626698549989598,54.92573927664889,2.322416305541992
65.0,-0.17130278372896868,-793.5167206745328,308.0131075176054,-1414.9183151062475,54.92573927664889,2.259945869445801
67.0,-0.17130278372896868,20.91854511992367,6.328108036228339,0.4023491068794327,54.92573927664889,2.2885079383850098
68.0,-0.5698203709494862,-516.5316007303104,227.46882728854732,-771.224506921092,55.32425686386941,2.2731313705444336
69.0,-0.5698203709494862,-2324.7180936239747,764.1201533673589,-8713.111471653623,55.32425686386941,2.2407281398773193
75.0,-0.5698203709494862,-34.91480959578577,25.671359705757997,-8.835525007202113,55.32425686386941,2.1313726902008057
76.0,-0.5698203709494862,-881.4821113745542,214.34522932415894,-684.6894169737284,55.32425686386941,2.2236862182617188
77.0,-0.5698203709494862,-71.85428745993474,22.317023222438436,-6.433140357064707,55.32425686386941,2.1534712314605713
80.0,-0.5698203709494862,2.4853538262943857,42.997192493398984,-26.591797956062088,55.32425686386941,2.1476504802703857
81.0,-0.5698203709494862,-357.8517932898466,54.58177800414825,-43.46263125696353,55.32425686386941,2.132404327392578
82.0,-0.5698203709494862,-1596.1417333493512,284.9816909191082,-1211.0867976198347,55.32425686386941,2.1482231616973877
83.0,-0.6971751113821227,-1419.642158439838,845.7178233783953,-10673.579341336334,55.451611604302045,2.0893259048461914
86.0,-0.6971751113821227,-36.975815799916674,55.77787369202105,-45.43267581308829,55.451611604302045,2.135576009750366
87.0,-0.6971751113821227,5.807517350958392,29.57963649870311,-12.058264711534555,55.451611604302045,2.1349375247955322
89.0,-0.6971751113821227,-1290.7657258976355,765.3257686699443,-8740.631107348314,55.451611604302045,2.0832669734954834
96.0,-0.6971751113821227,9.220099161206157,7.248636865693093,0.21582590790689848,55.451611604302045,2.145899534225464
97.0,-0.6971751113821227,-5.620604635023717,12.041952120515912,-1.1641810751549233,55.451611604302045,2.1628835201263428
104.0,-0.6971751113821227,2.62821328789839,14.516608899293253,-2.145068838381407,55.451611604302045,2.1426193714141846
109.0,-0.6971751113821227,5.771916960947195,8.349698723304183,-0.04049839255393284,55.451611604302045,2.203005790710449
110.0,-0.6971751113821227,-1958.5157564282197,577.1128957449953,-4969.743582623137,55.451611604302045,2.209562063217163
112.0,-0.6971751113821227,-6.331201024402553,2.917487787209426,0.8729666075138144,55.451611604302045,2.1583220958709717
118.0,-0.6971751113821227,3.256810347181556,1.0900367619104905,0.9822670049564746,55.451611604302045,2.1963961124420166
119.0,-0.6971751113821227,-176.03039363606632,45.17954777249073,-29.463763968185123,55.451611604302045,2.3018712997436523
120.0,-0.6971751113821227,-189.96768993798491,44.78228650392784,-28.9303869123628,55.451611604302045,2.3040149211883545
123.0,-0.6971751113821227,-157.70682672035792,174.5353302606457,-453.63881079717527,55.451611604302045,2.236968517303467
124.0,-0.6971751113821227,13.286277370903377,5.835740052005637,0.49173327365469877,55.451611604302045,2.3278775215148926
125.0,-0.6971751113821227,12.891801881515114,9.010002493517332,-0.21157310786774852,55.451611604302045,2.3191721439361572
126.0,-0.6971751113821227,-29.114120817344343,7.802031513809869,0.09152035078779241,55.451611604302045,2.3241307735443115
127.0,-0.6971751113821227,-2658.405325350809,609.7100475155263,-5547.128441212157,55.451611604302045,2.3228957653045654
129.0,-0.7055713406670989,-68.97740583123627,23.791843550149235,-7.448040623087568,55.46000783358702,2.3795838356018066
135.0,-0.7055713406670989,-5.848792075793575,47.91616183911553,-33.266034593770485,55.46000783358702,2.4284942150115967
142.0,-0.7055713406670989,7.442279397405649,5.495647891109242,0.5492480629062516,55.46000783358702,2.3807685375213623
143.0,-0.7055713406670989,-7.861257818127001,96.37634446538983,-137.62472638797993,55.46000783358702,2.4783542156219482
144.0,-0.7055713406670989,-2769.014102680637,593.9494663581661,-5264.005094459386,55.46000783358702,2.4560842514038086
