cost,SR,operation_time,time
0.0,609.26,12.621712446212769,12.621712446212769
1.0,584.8349816894531,0.0012078285217285156,0.0015990734100341797
7.0,448.82503295898437,0.0014867782592773438,0.0014066696166992188
10.0,408.2451379394531,0.0011138916015625,0.0018951892852783203
11.0,408.2451379394531,0.0012822151184082031,0.0018892288208007812
13.0,408.2451379394531,0.0009818077087402344,0.0019462108612060547
17.0,246.0899560546875,0.0011119842529296875,0.0023953914642333984
26.0,246.0899560546875,0.0011832714080810547,0.002786397933959961
27.0,246.0899560546875,0.0014073848724365234,0.0021147727966308594
28.0,246.0899560546875,0.0015189647674560547,0.001993417739868164
36.0,246.0899560546875,0.0016863346099853516,0.0033702850341796875
40.0,246.0899560546875,0.0013387203216552734,0.0026302337646484375
42.0,246.0899560546875,0.0012001991271972656,0.0027341842651367188
44.0,246.0899560546875,0.0008189678192138672,0.0031414031982421875
48.0,246.0899560546875,0.0011806488037109375,0.002608060836791992
53.0,246.0899560546875,0.0013568401336669922,0.0028874874114990234
54.0,246.0899560546875,0.0011975765228271484,0.0029947757720947266
55.0,246.0899560546875,0.0014030933380126953,0.0027837753295898438
61.0,246.0899560546875,0.0010912418365478516,0.003715991973876953
64.0,173.591787109375,0.0008709430694580078,0.0037186145782470703
66.0,173.591787109375,0.0008690357208251953,0.003103971481323242
69.0,173.591787109375,0.0012836456298828125,0.0036923885345458984
74.0,173.591787109375,0.0013010501861572266,0.0037457942962646484
81.0,173.591787109375,0.0010230541229248047,0.006055593490600586
82.0,173.591787109375,0.0008475780487060547,0.011233806610107422
83.0,173.591787109375,0.0008518695831298828,0.005426168441772461
85.0,66.28862548828124,0.0014295578002929688,0.0036115646362304688
87.0,66.28862548828124,0.0012180805206298828,0.004199981689453125
88.0,66.28862548828124,0.0010395050048828125,0.007096529006958008
90.0,66.28862548828124,0.0008575916290283203,0.0049953460693359375
92.0,66.28862548828124,0.001493692398071289,0.0038177967071533203
94.0,66.28862548828124,0.0012021064758300781,0.004460573196411133
96.0,66.28862548828124,0.0011112689971923828,0.008172750473022461
99.0,66.28862548828124,0.0014331340789794922,0.005475521087646484
102.0,47.88402343749999,0.0014889240264892578,0.007187366485595703
109.0,47.88402343749999,0.0013377666473388672,0.00720977783203125
113.0,47.88402343749999,0.0012226104736328125,0.008406877517700195
116.0,47.88402343749999,0.0015273094177246094,0.004860639572143555
117.0,47.88402343749999,0.0009067058563232422,0.01413869857788086
118.0,47.88402343749999,0.0008940696716308594,0.008661270141601562
121.0,47.88402343749999,0.0009226799011230469,0.010900735855102539
125.0,47.88402343749999,0.0009663105010986328,0.03457283973693848
126.0,47.88402343749999,0.0012705326080322266,0.008602619171142578
129.0,16.62077880859374,0.0007781982421875,0.008743047714233398
133.0,16.62077880859374,0.0012736320495605469,0.02023172378540039
137.0,16.62077880859374,0.0012290477752685547,0.016991853713989258
143.0,1.343801269531241,0.0008587837219238281,0.015750408172607422
147.0,1.343801269531241,0.0007925033569335938,0.00984811782836914
151.0,1.343801269531241,0.0011239051818847656,0.008243083953857422
155.0,1.343801269531241,0.0011830329895019531,0.027495145797729492
161.0,-23.17103027343751,0.0009870529174804688,0.011400938034057617
168.0,-34.29297851562501,0.0010955333709716797,0.0075740814208984375
172.0,-75.36683105468751,0.0008144378662109375,0.011686325073242188
176.0,-75.36683105468751,0.0009334087371826172,0.02509927749633789
182.0,-75.36683105468751,0.0008046627044677734,0.01374506950378418
187.0,-75.36683105468751,0.0016224384307861328,0.019086837768554688
188.0,-96.66236328125001,0.001432657241821289,0.01064300537109375
190.0,-96.66236328125001,0.0008115768432617188,0.010099411010742188
194.0,-96.66236328125001,0.0007379055023193359,0.008981704711914062
197.0,-96.66236328125001,0.0008020401000976562,0.011305809020996094
